Provider,TotalClaims,TotalInpatientClaims,TotalOutpatientClaims,TotalReimbursed,AvgReimbursed,TotalDeductible,AvgDeductible,UniqueBeneficiaries,UniqueAttendingPhysicians,AvgPatientAge,AvgHospitalStay,MostCommonState,Sum_ChronicCond_Alzheimer,Sum_ChronicCond_Heartfailure,Sum_ChronicCond_KidneyDisease,Sum_ChronicCond_Cancer,Sum_ChronicCond_ObstrPulmonary,Sum_ChronicCond_Depression,Sum_ChronicCond_Diabetes,Sum_ChronicCond_IschemicHeart,Sum_ChronicCond_Osteoporasis,Sum_ChronicCond_rheumatoidarthritis,Sum_ChronicCond_stroke,PotentialFraud
PRV51025,87,13,74,118350,1360.344827586207,14284.0,164.183908045977,76,35,73.11494252873563,13,1,28,47,40,13,28,41,64,62,31,26,6,0
PRV51026,76,0,76,19840,261.05263157894734,340.0,4.473684210526316,56,29,69.15789473684211,0,1,30,33,30,11,15,39,56,50,17,23,6,0
PRV51027,53,0,53,29840,563.0188679245283,0.0,0.0,44,10,72.52830188679245,0,1,23,36,27,9,16,30,41,43,10,13,8,0
PRV51029,93,0,93,30660,329.6774193548387,160.0,1.7204301075268817,79,38,70.48387096774194,0,1,32,45,33,9,29,30,62,66,17,28,13,0
PRV51030,171,82,89,739760,4326.081871345029,86748.0,510.2823529411765,145,46,71.45029239766082,82,1,73,111,81,30,65,76,125,138,48,59,13,0
PRV51031,185,28,157,359720,1944.4324324324325,30244.0,163.48108108108107,157,60,72.2054054054054,28,1,90,128,89,19,71,81,130,151,85,54,19,0
PRV51032,23,0,23,5420,235.65217391304347,50.0,2.1739130434782608,21,10,69.08695652173913,0,11,9,15,10,5,8,11,16,16,4,5,3,0
PRV51035,30,1,29,32560,1085.3333333333333,1428.0,47.6,25,18,73.43333333333334,1,1,8,18,18,4,11,18,22,24,10,7,8,0
PRV51036,278,0,278,74880,269.3525179856115,1410.0,5.071942446043166,131,5,72.18705035971223,0,1,99,159,109,31,95,132,201,201,95,82,19,0
PRV51037,454,23,431,342230,753.8105726872246,25524.0,56.220264317180614,206,3,71.46035242290749,23,1,195,271,181,104,155,205,311,363,168,132,29,1
PRV51038,141,30,111,265490,1882.9078014184397,31192.0,222.8,107,44,71.12056737588652,30,1,70,88,65,27,43,63,109,112,46,46,14,0
PRV51040,86,9,77,74470,865.9302325581396,8784.0,103.34117647058824,69,15,70.79069767441861,9,1,35,54,33,7,25,41,63,66,21,20,11,0
PRV51041,34,0,34,7410,217.94117647058823,270.0,7.9411764705882355,31,9,69.88235294117646,0,1,16,17,7,10,10,15,22,24,7,9,2,0
PRV51042,142,0,142,48050,338.38028169014086,310.0,2.183098591549296,128,52,72.16901408450704,0,1,50,74,58,20,41,56,87,108,33,38,13,0
PRV51043,23,0,23,4480,194.7826086956522,0.0,0.0,20,6,73.65217391304348,0,1,8,16,7,3,8,9,18,15,9,5,0,0
PRV51044,59,0,59,21330,361.52542372881356,130.0,2.2033898305084745,39,1,68.77966101694915,0,1,22,34,30,7,19,22,35,50,22,21,4,0
PRV51045,31,0,31,8390,270.64516129032256,40.0,1.2903225806451613,29,16,70.93548387096774,0,1,16,17,15,3,15,13,23,23,6,6,2,0
PRV51046,38,8,30,109370,2878.157894736842,8644.0,227.47368421052633,26,6,71.73684210526316,8,1,14,21,12,13,15,18,31,35,15,17,3,0
PRV51047,11,0,11,2530,230.0,0.0,0.0,11,10,70.0,0,1,3,6,4,0,4,4,7,7,3,4,1,0
PRV51048,38,4,34,27700,728.9473684210526,4352.0,114.52631578947368,33,15,69.89473684210526,4,1,22,22,14,5,13,20,32,31,8,19,1,0
PRV51049,71,0,71,21720,305.9154929577465,190.0,2.676056338028169,65,35,70.35211267605634,0,1,33,45,30,13,34,33,49,44,22,21,7,0
PRV51052,46,2,44,30800,669.5652173913044,2346.0,51.0,37,17,71.15217391304348,2,1,15,29,18,6,12,19,27,32,15,13,5,1
PRV51053,1,1,0,8000,8000.0,1068.0,1068.0,1,1,68.0,1,10,0,1,1,0,0,1,0,1,0,0,0,0
PRV51054,57,0,57,15130,265.43859649122805,140.0,2.456140350877193,40,3,69.94736842105263,0,1,21,28,25,2,20,24,29,29,6,7,6,0
PRV51055,22,2,20,21640,983.6363636363636,2206.0,100.27272727272727,22,6,68.18181818181819,2,1,10,15,8,4,8,13,11,17,7,7,3,0
PRV51056,22,2,20,14700,668.1818181818181,2146.0,97.54545454545455,21,5,76.31818181818181,2,1,10,13,15,5,6,12,20,18,12,6,5,0
PRV51057,5,0,5,6830,1366.0,0.0,0.0,4,1,77.8,0,1,0,4,1,2,1,0,1,5,0,2,0,0
PRV51058,83,5,78,107030,1289.5180722891566,5540.0,66.74698795180723,75,31,73.0,5,1,31,44,34,9,23,40,62,66,31,26,9,0
PRV51059,96,25,71,421060,4386.041666666667,26940.0,280.625,82,30,73.65625,25,1,31,62,38,15,29,37,62,66,28,26,10,1
PRV51060,42,5,37,43710,1040.7142857142858,5340.0,127.14285714285714,42,28,70.85714285714286,5,1,16,25,19,6,16,20,33,30,8,13,4,0
PRV51061,145,1,144,54940,378.8965517241379,1328.0,9.158620689655173,67,6,76.55172413793103,1,1,36,62,58,21,39,67,105,104,48,37,12,0
PRV51062,397,3,394,153380,386.3476070528967,3944.0,9.934508816120907,166,6,72.3425692695214,3,1,175,241,190,68,120,204,295,283,153,101,51,0
PRV51063,149,0,149,51110,343.02013422818794,160.0,1.0738255033557047,115,3,68.93288590604027,0,1,63,91,68,19,44,65,105,116,38,41,16,0
PRV51064,303,36,267,360320,1189.1749174917493,38948.0,128.54125412541254,227,111,72.4983498349835,36,1,110,191,139,39,107,145,221,239,101,92,41,1
PRV51065,28,10,18,76570,2734.6428571428573,9722.0,360.0740740740741,26,9,74.67857142857143,10,1,12,19,10,1,9,16,20,23,6,5,7,0
PRV51066,24,2,22,24790,1032.9166666666667,2236.0,93.16666666666667,21,7,68.125,2,1,12,14,7,2,6,7,13,17,7,6,2,0
PRV51067,58,12,46,334520,5767.586206896552,13096.0,225.79310344827587,49,21,67.46551724137932,12,1,17,37,25,12,14,33,41,43,21,15,3,1
PRV51068,261,9,252,143260,548.8888888888889,8984.0,34.55384615384615,214,79,70.27969348659003,9,1,99,150,101,39,72,105,186,182,78,76,31,0
PRV51070,99,10,89,125410,1266.7676767676767,10980.0,110.9090909090909,69,46,69.4949494949495,10,25,29,54,36,17,23,38,70,74,24,16,12,0
PRV51071,24,0,24,8550,356.25,50.0,2.0833333333333335,24,11,68.08333333333333,0,1,12,14,8,2,9,14,18,21,10,5,4,0
PRV51072,212,12,200,119170,562.122641509434,12178.0,57.71563981042654,160,47,71.89150943396227,12,1,76,118,94,25,75,74,157,160,73,70,18,0
PRV51074,39,5,34,41170,1055.6410256410256,5420.0,138.97435897435898,39,14,72.51282051282051,5,1,15,23,18,6,13,18,28,34,14,10,1,0
PRV51075,17,0,17,8550,502.94117647058823,70.0,4.117647058823529,13,4,76.29411764705883,0,1,3,6,4,7,4,10,14,16,3,8,1,0
PRV51076,29,0,29,10230,352.7586206896552,50.0,1.7241379310344827,27,8,75.24137931034483,0,1,13,17,12,8,5,11,22,26,9,11,4,0
PRV51077,33,16,17,204350,6192.424242424242,16220.0,506.875,30,11,69.96969696969697,16,1,16,24,20,5,12,21,28,29,16,13,4,1
PRV51078,23,9,14,78270,3403.0434782608695,8644.0,392.90909090909093,23,13,70.26086956521739,9,1,7,14,7,3,8,10,16,16,7,5,4,0
PRV51081,200,6,194,124080,620.4,7168.0,35.84,131,3,71.79,6,1,96,128,104,17,54,87,134,164,57,55,27,0
PRV51082,34,0,34,5470,160.88235294117646,70.0,2.0588235294117645,31,9,72.08823529411765,0,1,14,15,13,2,6,12,29,22,8,7,3,0
PRV51083,90,0,90,18100,201.11111111111111,140.0,1.5555555555555556,81,18,74.33333333333333,0,1,37,55,43,13,28,47,65,73,30,23,10,0
PRV51084,110,20,90,215580,1959.8181818181818,21890.0,199.0,85,32,71.87272727272727,20,1,51,65,42,9,29,38,87,82,28,43,14,1
PRV51086,139,31,108,446170,3209.856115107914,33168.0,238.61870503597123,115,24,74.16546762589928,31,1,46,79,66,21,47,63,100,109,34,39,10,0
PRV51089,228,18,210,230900,1012.719298245614,18696.0,82.36123348017621,197,72,70.64035087719299,18,1,77,129,103,33,68,102,152,169,79,65,24,0
PRV51090,7,0,7,5830,832.8571428571429,60.0,8.571428571428571,7,3,71.28571428571429,0,1,1,2,2,3,1,2,6,5,3,5,0,0
PRV51091,44,0,44,9270,210.6818181818182,80.0,1.8181818181818181,44,19,68.54545454545455,0,1,12,29,14,5,15,24,29,36,12,16,6,0
PRV51093,9,2,7,13710,1523.3333333333333,2136.0,237.33333333333334,9,6,75.33333333333333,2,10,3,4,4,1,4,4,6,8,4,3,1,0
PRV51096,5,0,5,3200,640.0,100.0,20.0,5,3,84.4,0,1,3,4,3,0,1,3,4,3,2,1,0,0
PRV51097,125,0,125,44420,355.36,230.0,1.84,71,1,70.4,0,1,47,51,42,18,34,41,90,95,39,24,9,0
PRV51098,4,0,4,300,75.0,0.0,0.0,4,2,81.75,0,1,0,4,2,1,2,2,4,4,1,3,1,0
PRV51100,5,5,0,78000,15600.0,5340.0,1068.0,5,3,70.0,5,1,1,4,2,0,1,1,3,4,0,2,0,0
PRV51101,3,3,0,16600,5533.333333333333,3204.0,1068.0,3,1,56.333333333333336,3,1,2,3,3,0,1,1,2,3,2,1,1,0
PRV51102,12,12,0,148000,12333.333333333334,12816.0,1068.0,11,3,79.58333333333333,12,1,4,8,8,1,3,4,9,11,1,6,2,0
PRV51103,6,0,6,440,73.33333333333333,60.0,10.0,4,2,76.5,0,1,3,4,6,0,3,5,6,6,4,6,0,1
PRV51104,12,0,12,1900,158.33333333333334,110.0,9.166666666666666,9,2,78.25,0,1,7,10,3,0,6,5,9,11,5,4,0,0
PRV51105,12,0,12,6540,545.0,0.0,0.0,12,2,75.58333333333333,0,1,6,10,7,3,4,5,11,8,4,3,0,0
PRV51108,19,19,0,156000,8210.526315789473,19224.0,1068.0,19,6,71.47368421052632,19,1,11,13,13,4,11,9,16,17,10,4,5,0
PRV51109,3,3,0,18000,6000.0,3204.0,1068.0,3,1,55.666666666666664,3,1,2,2,3,0,2,3,3,3,3,3,1,0
PRV51110,5,5,0,27000,5400.0,5340.0,1068.0,5,3,67.6,5,1,3,4,4,0,1,4,5,5,1,1,0,0
PRV51111,132,0,132,54860,415.6060606060606,200.0,1.5151515151515151,85,4,72.25,0,1,49,72,69,27,38,54,101,91,38,36,18,0
PRV51112,304,0,304,105250,346.2171052631579,810.0,2.664473684210526,195,7,70.79605263157895,0,1,114,171,131,42,87,119,223,221,97,99,22,0
PRV51113,132,0,132,46390,351.43939393939394,550.0,4.166666666666667,78,2,70.96212121212122,0,1,48,69,54,15,47,36,96,106,40,46,5,0
PRV51114,262,0,262,76720,292.82442748091603,560.0,2.1374045801526718,160,5,69.89312977099236,0,1,90,166,101,35,84,107,202,201,76,95,18,0
PRV51115,7,0,7,980,140.0,20.0,2.857142857142857,6,3,72.28571428571429,0,1,3,3,2,1,3,5,6,4,0,2,0,0
PRV51117,12,0,12,1950,162.5,0.0,0.0,10,4,68.33333333333333,0,1,3,12,7,5,5,5,11,12,3,5,1,0
PRV51118,16,16,0,136000,8500.0,14952.0,1068.0,16,4,66.6875,16,1,4,12,8,2,7,8,13,13,8,4,2,0
PRV51119,95,94,1,1080580,11374.526315789473,96985.0,1065.7692307692307,81,8,74.4,94,1,47,68,52,21,44,50,75,82,31,27,12,1
PRV51120,7,7,0,52000,7428.571428571428,7476.0,1068.0,7,1,60.857142857142854,7,1,4,6,3,2,2,3,6,5,2,1,1,0
PRV51121,7,6,1,81080,11582.857142857143,6408.0,915.4285714285714,7,3,66.14285714285714,6,1,3,2,5,1,1,2,5,7,3,2,0,0
PRV51122,7,0,7,1120,160.0,0.0,0.0,7,7,66.0,0,2,2,3,1,1,2,3,4,3,0,1,0,0
PRV51123,31,2,29,26910,868.0645161290323,2176.0,70.19354838709677,28,21,68.54838709677419,2,2,14,19,12,1,12,14,23,23,4,10,1,0
PRV51125,48,12,36,131310,2735.625,13096.0,272.8333333333333,32,36,70.125,12,2,19,28,24,5,11,18,36,35,10,13,10,0
PRV51126,20,20,0,177000,8850.0,21360.0,1068.0,14,2,69.25,20,2,12,18,13,1,8,11,15,20,9,4,2,1
PRV51128,50,5,45,102220,2044.4,5340.0,106.8,38,19,67.74,5,2,21,33,24,18,17,22,36,38,21,15,5,0
PRV51129,96,0,96,22920,238.75,480.0,5.0,65,54,73.16666666666667,0,2,36,53,37,13,24,37,66,81,24,24,7,0
PRV51130,7,0,7,4970,710.0,0.0,0.0,7,2,61.285714285714285,0,2,2,4,3,1,3,6,2,6,0,3,3,0
PRV51131,8,0,8,1160,145.0,70.0,8.75,8,4,73.875,0,2,3,3,3,1,3,4,7,5,1,2,1,0
PRV51132,8,1,7,5330,666.25,1068.0,133.5,6,5,73.75,1,2,1,3,3,0,0,1,4,4,3,0,0,0
PRV51134,15,0,15,7610,507.3333333333333,80.0,5.333333333333333,12,3,62.93333333333333,0,2,10,9,7,1,5,8,10,9,2,4,0,0
PRV51135,5,0,5,300,60.0,0.0,0.0,2,1,67.0,0,2,0,1,1,4,5,0,1,5,4,0,0,0
PRV51136,1,1,0,20000,20000.0,1068.0,1068.0,1,1,70.0,1,2,0,0,0,0,0,0,1,1,0,0,0,0
PRV51137,55,1,54,16050,291.8181818181818,1348.0,24.509090909090908,51,23,71.67272727272727,1,3,22,38,18,9,19,24,46,42,24,22,2,0
PRV51138,26,1,25,13430,516.5384615384615,1068.0,41.07692307692308,21,7,72.03846153846153,1,32,6,17,8,4,6,11,9,20,9,10,2,0
PRV51139,43,7,36,52580,1222.7906976744187,7516.0,174.7906976744186,42,34,73.83720930232558,7,3,15,26,16,7,12,24,33,32,12,8,3,0
PRV51140,487,47,440,453130,930.4517453798768,50418.0,103.74074074074075,394,5,72.43121149897331,47,3,184,295,187,74,158,202,349,359,148,156,51,0
PRV51141,71,0,71,19490,274.50704225352115,170.0,2.3943661971830985,37,8,73.98591549295774,0,3,18,36,19,7,18,26,46,43,13,14,5,0
PRV51142,51,7,44,104570,2050.392156862745,7536.0,147.76470588235293,38,15,72.45098039215686,7,3,17,33,22,6,14,18,33,41,14,7,8,0
PRV51143,77,0,77,20450,265.5844155844156,350.0,4.545454545454546,68,26,71.66233766233766,0,3,33,45,25,13,19,27,44,44,24,18,4,0
PRV51144,30,4,26,61220,2040.6666666666667,4492.0,149.73333333333332,29,14,76.16666666666667,4,3,11,15,10,8,7,13,18,24,11,9,1,0
PRV51145,202,161,41,1606350,7952.227722772277,166748.0,846.4365482233502,161,37,72.67821782178218,161,3,103,136,105,41,83,91,149,164,70,71,34,1
PRV51146,352,162,190,1680910,4775.3125,171670.0,490.48571428571427,334,77,73.6534090909091,162,3,140,230,169,63,131,152,250,285,128,116,38,1
PRV51147,32,0,32,8860,276.875,210.0,6.5625,32,23,71.0625,0,3,10,18,12,4,7,12,22,18,8,5,1,0
PRV51148,330,34,296,488660,1480.7878787878788,36294.0,110.3161094224924,263,60,73.07878787878788,34,5,111,195,135,59,94,141,227,253,108,103,31,1
PRV51149,148,116,32,1120680,7572.1621621621625,123958.0,837.5540540540541,136,25,71.25,116,3,65,105,91,19,71,76,111,122,62,54,25,1
PRV51151,233,22,211,201300,863.9484978540772,23298.0,100.42241379310344,225,97,73.03004291845494,22,5,106,139,105,35,86,116,160,179,70,71,26,0
PRV51152,83,0,83,25770,310.48192771084337,500.0,6.024096385542169,39,3,72.89156626506023,0,3,41,46,43,1,31,48,63,56,22,25,13,0
PRV51153,87,4,83,71490,821.7241379310345,4902.0,56.3448275862069,83,51,72.25287356321839,4,3,29,49,33,11,28,48,59,63,30,28,7,0
PRV51154,161,0,161,45750,284.16149068322983,790.0,4.906832298136646,147,3,74.11801242236025,0,3,66,98,57,23,48,76,111,106,57,60,18,0
PRV51155,115,0,115,26330,228.95652173913044,160.0,1.391304347826087,110,1,72.5391304347826,0,3,52,61,36,20,31,46,76,76,31,34,10,0
PRV51156,542,0,542,140640,259.48339483394835,1720.0,3.1734317343173433,425,3,72.9520295202952,0,3,189,296,186,79,178,220,361,387,172,172,43,0
PRV51159,569,65,504,797790,1402.091388400703,70450.0,123.81370826010544,506,99,73.60632688927944,65,13,230,310,211,92,177,233,389,411,182,173,63,1
PRV51160,114,90,24,872020,7649.298245614035,96140.0,843.3333333333334,110,22,72.97368421052632,90,3,53,81,70,28,58,52,86,86,45,43,23,0
PRV51164,391,41,350,556980,1424.5012787723786,44548.0,113.93350383631713,334,7,72.65473145780051,41,3,131,238,152,51,124,174,260,299,118,121,40,0
PRV51165,98,26,72,329700,3364.285714285714,28088.0,286.61224489795916,97,62,74.62244897959184,26,3,42,53,41,11,30,43,68,70,34,21,14,0
PRV51166,5,1,4,24870,4974.0,1068.0,213.6,5,4,71.0,1,3,1,3,1,1,1,1,5,2,1,3,0,0
PRV51167,190,0,190,51980,273.57894736842104,410.0,2.1578947368421053,182,22,73.78947368421052,0,50,80,105,74,34,57,81,139,151,54,53,13,0
PRV51168,87,9,78,80470,924.9425287356322,9782.0,112.4367816091954,86,14,72.96551724137932,9,5,38,53,31,11,24,33,58,68,31,31,6,0
PRV51169,77,0,77,19380,251.6883116883117,50.0,0.6493506493506493,74,51,74.25974025974025,0,3,32,44,33,9,20,36,52,53,31,24,10,0
PRV51170,16,8,8,145820,9113.75,8544.0,534.0,16,8,72.25,8,3,8,9,8,1,9,8,14,10,5,8,3,1
PRV51171,59,0,59,13820,234.23728813559322,200.0,3.389830508474576,59,38,72.45762711864407,0,3,23,39,29,9,19,22,40,42,19,14,7,0
PRV51173,22,7,15,96290,4376.818181818182,7676.0,348.90909090909093,21,12,72.54545454545455,7,3,6,10,8,2,6,11,18,11,3,8,3,1
PRV51175,41,0,41,9650,235.3658536585366,90.0,2.1951219512195124,39,21,71.02439024390245,0,3,22,27,20,6,11,21,27,35,6,14,5,0
PRV51176,445,0,445,145980,328.0449438202247,870.0,1.9550561797752808,399,128,72.42247191011236,0,32,194,263,176,60,138,202,312,341,155,131,52,0
PRV51178,65,34,31,431180,6633.538461538462,36602.0,563.1076923076923,64,19,70.58461538461539,34,3,31,44,32,10,28,27,42,46,21,17,6,1
PRV51179,26,0,26,5000,192.30769230769232,0.0,0.0,26,14,69.76923076923077,0,3,12,15,12,2,8,12,15,13,7,10,3,0
PRV51180,129,2,127,94240,730.5426356589147,2416.0,18.728682170542637,86,3,73.4186046511628,2,3,46,78,57,12,42,51,83,93,52,44,11,0
PRV51181,10,0,10,2150,215.0,0.0,0.0,10,5,77.0,0,3,4,6,4,2,4,4,8,8,1,4,2,0
PRV51183,113,41,72,355790,3148.5840707964603,42790.0,382.05357142857144,105,8,72.73451327433628,41,3,36,65,52,15,39,55,81,85,38,37,17,0
PRV51185,8,0,8,1590,198.75,0.0,0.0,8,5,72.5,0,3,2,4,3,1,1,3,6,4,2,4,1,0
PRV51186,2,0,2,100,50.0,0.0,0.0,2,1,74.0,0,3,1,0,1,0,0,1,1,1,0,1,0,0
PRV51189,56,0,56,8740,156.07142857142858,240.0,4.285714285714286,51,11,72.69642857142857,0,3,14,33,18,8,11,24,35,31,20,12,5,0
PRV51190,66,3,63,39310,595.6060606060606,3534.0,53.54545454545455,64,23,73.07575757575758,3,5,32,42,26,14,24,36,41,50,21,27,4,0
PRV51191,32,0,32,10990,343.4375,90.0,2.8125,30,22,70.65625,0,3,11,13,11,4,6,11,19,22,13,5,2,0
PRV51194,9,2,7,18540,2060.0,2136.0,237.33333333333334,9,5,71.77777777777777,2,3,4,4,2,1,3,4,6,4,2,2,0,0
PRV51196,720,0,720,197060,273.69444444444446,1750.0,2.4305555555555554,432,1,74.31527777777778,0,3,244,384,252,106,205,289,501,544,202,235,64,0
PRV51198,6,0,6,360,60.0,30.0,5.0,3,2,78.83333333333333,0,46,0,1,0,1,1,2,4,1,0,1,0,0
PRV51200,19,0,19,4420,232.6315789473684,0.0,0.0,16,4,70.21052631578948,0,3,7,13,2,3,5,8,14,17,11,5,1,0
PRV51201,45,0,45,10660,236.88888888888889,50.0,1.1111111111111112,41,3,73.08888888888889,0,3,17,28,20,5,14,15,32,34,16,12,3,0
PRV51202,12,0,12,5010,417.5,0.0,0.0,12,5,69.75,0,3,7,8,4,1,1,3,9,10,3,4,0,0
PRV51203,21,0,21,15340,730.4761904761905,80.0,3.8095238095238093,20,5,66.04761904761905,0,3,8,12,6,6,3,7,14,15,5,7,3,0
PRV51204,499,0,499,155180,310.9819639278557,600.0,1.2024048096192386,398,3,72.44288577154309,0,3,177,269,181,74,131,195,324,362,165,151,48,0
PRV51205,10,0,10,4660,466.0,70.0,7.0,10,6,74.5,0,3,3,4,5,3,4,3,6,6,5,4,0,0
PRV51206,10,0,10,1560,156.0,0.0,0.0,10,6,74.3,0,3,3,7,5,1,3,6,7,6,5,4,0,0
PRV51207,3,3,0,51000,17000.0,3204.0,1068.0,3,2,69.0,3,3,2,2,1,1,1,1,1,2,1,0,1,0
PRV51209,42,0,42,9910,235.95238095238096,170.0,4.0476190476190474,38,2,73.30952380952381,0,3,15,27,12,4,16,20,25,29,18,14,6,0
PRV51210,9,0,9,2890,321.1111111111111,0.0,0.0,9,3,80.33333333333333,0,3,4,4,2,2,2,3,7,5,2,0,0,0
PRV51211,2,0,2,100,50.0,0.0,0.0,2,2,70.0,0,3,2,1,0,1,1,1,0,1,0,1,0,0
PRV51212,15,0,15,6260,417.3333333333333,70.0,4.666666666666667,15,2,71.33333333333333,0,3,5,7,8,3,5,7,13,13,6,8,1,0
PRV51213,2,0,2,50,25.0,0.0,0.0,2,2,73.0,0,3,0,0,0,0,2,0,1,2,1,1,0,0
PRV51214,8,0,8,3200,400.0,0.0,0.0,8,3,69.625,0,3,4,4,3,0,2,7,4,7,2,1,1,0
PRV51215,10,0,10,1610,161.0,0.0,0.0,10,1,80.4,0,3,2,7,3,0,3,5,7,9,1,2,2,0
PRV51216,71,0,71,15560,219.1549295774648,570.0,8.028169014084508,66,2,73.01408450704226,0,3,24,36,26,13,21,29,51,52,24,20,5,0
PRV51217,5,0,5,2930,586.0,0.0,0.0,5,2,70.4,0,3,3,2,2,0,1,2,2,3,1,1,0,0
PRV51218,7,0,7,520,74.28571428571429,0.0,0.0,7,1,62.42857142857143,0,3,3,3,3,2,1,3,1,5,2,1,0,0
PRV51219,8,0,8,5330,666.25,0.0,0.0,8,3,70.625,0,3,3,4,6,1,3,4,4,6,1,3,0,0
PRV51221,1,0,1,70,70.0,0.0,0.0,1,1,79.0,0,3,0,1,0,0,1,1,0,1,1,0,0,0
PRV51222,5,0,5,860,172.0,0.0,0.0,3,2,75.4,0,3,0,3,3,0,0,3,4,1,0,3,0,0
PRV51224,7,0,7,3130,447.14285714285717,0.0,0.0,7,1,75.85714285714286,0,29,3,5,3,1,2,3,3,2,2,3,1,0
PRV51225,8,0,8,1190,148.75,0.0,0.0,8,2,73.625,0,3,1,3,1,1,1,2,5,6,5,2,0,0
PRV51226,20,0,20,7430,371.5,270.0,13.5,19,3,75.2,0,3,4,13,5,4,5,6,13,16,6,3,1,0
PRV51228,5,0,5,430,86.0,70.0,14.0,5,2,68.6,0,3,0,1,1,2,0,1,3,3,1,2,0,0
PRV51229,47,0,47,12410,264.0425531914894,110.0,2.3404255319148937,44,2,72.61702127659575,0,3,23,23,12,7,14,13,28,32,11,15,6,0
PRV51230,30,0,30,12490,416.3333333333333,0.0,0.0,30,2,69.93333333333334,0,3,9,20,16,5,13,13,21,24,7,12,4,0
PRV51231,2,2,0,16000,8000.0,2136.0,1068.0,2,1,69.0,2,3,1,2,2,0,2,0,1,2,1,0,0,0
PRV51232,1,1,0,26000,26000.0,1068.0,1068.0,1,1,89.0,1,3,1,1,1,0,1,0,1,1,0,0,1,0
PRV51233,3,3,0,27000,9000.0,3204.0,1068.0,3,2,66.66666666666667,3,3,2,1,0,1,0,3,1,2,0,0,0,0
PRV51234,5,5,0,29000,5800.0,5340.0,1068.0,5,1,71.0,5,3,2,1,1,0,2,1,4,3,1,3,0,0
PRV51235,2,2,0,10000,5000.0,2136.0,1068.0,2,1,53.5,2,3,0,1,1,0,1,2,2,1,0,1,1,0
PRV51236,1,1,0,12000,12000.0,1068.0,1068.0,1,1,35.0,1,43,1,1,0,1,0,0,0,1,0,0,0,0
PRV51237,1,1,0,19000,19000.0,1068.0,1068.0,1,1,90.0,1,3,1,1,1,0,0,0,1,1,1,1,0,0
PRV51238,8,8,0,132000,16500.0,4272.0,1068.0,8,1,73.375,8,3,5,6,6,3,2,6,7,8,2,4,2,0
PRV51239,1,1,0,5000,5000.0,1068.0,1068.0,1,1,81.0,1,3,1,1,0,0,0,0,1,1,0,0,0,0
